"error_id","e_protein","e_carbs","e_fats"
"1","1.00","1.00","1.00"
"2","1.00","1.00","2.00"
"3","1.00","1.00","3.00"
"4","1.00","1.00","4.00"
"5","1.00","1.00","5.00"
"6","1.00","1.00","6.00"
"7","1.00","1.00","7.00"
"8","1.00","1.00","8.00"
"9","1.00","1.00","9.00"
"10","1.00","1.00","10.00"
"11","1.00","1.00","11.00"
"12","1.00","1.00","12.00"
"13","1.00","1.00","13.00"
"14","1.00","1.00","14.00"
"15","1.00","1.00","15.00"
"16","1.00","1.00","16.00"
"17","1.00","1.00","17.00"
"18","1.00","1.00","18.00"
"19","1.00","1.00","19.00"
"20","1.00","1.00","20.00"
"21","1.00","1.00","21.00"
"22","1.00","1.00","22.00"
"23","1.00","1.00","23.00"
"24","1.00","1.00","24.00"
"25","1.00","1.00","25.00"
"26","1.00","1.00","26.00"
"27","1.00","1.00","27.00"
"28","1.00","1.00","28.00"
"29","1.00","1.00","29.00"
"30","1.00","1.00","30.00"
"31","1.00","2.00","1.00"
"32","1.00","2.00","2.00"
"33","1.00","2.00","3.00"
"34","1.00","2.00","4.00"
"35","1.00","2.00","5.00"
"36","1.00","2.00","6.00"
"37","1.00","2.00","7.00"
"38","1.00","2.00","8.00"
"39","1.00","2.00","9.00"
"40","1.00","2.00","10.00"
"41","1.00","2.00","11.00"
"42","1.00","2.00","12.00"
"43","1.00","2.00","13.00"
"44","1.00","2.00","14.00"
"45","1.00","2.00","15.00"
"46","1.00","2.00","16.00"
"47","1.00","2.00","17.00"
"48","1.00","2.00","18.00"
"49","1.00","2.00","19.00"
"50","1.00","2.00","20.00"
"51","1.00","2.00","21.00"
"52","1.00","2.00","22.00"
"53","1.00","2.00","23.00"
"54","1.00","2.00","24.00"
"55","1.00","2.00","25.00"
"56","1.00","2.00","26.00"
"57","1.00","2.00","27.00"
"58","1.00","2.00","28.00"
"59","1.00","2.00","29.00"
"60","1.00","2.00","30.00"
"61","1.00","3.00","1.00"
"62","1.00","3.00","2.00"
"63","1.00","3.00","3.00"
"64","1.00","3.00","4.00"
"65","1.00","3.00","5.00"
"66","1.00","3.00","6.00"
"67","1.00","3.00","7.00"
"68","1.00","3.00","8.00"
"69","1.00","3.00","9.00"
"70","1.00","3.00","10.00"
"71","1.00","3.00","11.00"
"72","1.00","3.00","12.00"
"73","1.00","3.00","13.00"
"74","1.00","3.00","14.00"
"75","1.00","3.00","15.00"
"76","1.00","3.00","16.00"
"77","1.00","3.00","17.00"
"78","1.00","3.00","18.00"
"79","1.00","3.00","19.00"
"80","1.00","3.00","20.00"
"81","1.00","3.00","21.00"
"82","1.00","3.00","22.00"
"83","1.00","3.00","23.00"
"84","1.00","3.00","24.00"
"85","1.00","3.00","25.00"
"86","1.00","3.00","26.00"
"87","1.00","3.00","27.00"
"88","1.00","3.00","28.00"
"89","1.00","3.00","29.00"
"90","1.00","3.00","30.00"
"91","1.00","4.00","1.00"
"92","1.00","4.00","2.00"
"93","1.00","4.00","3.00"
"94","1.00","4.00","4.00"
"95","1.00","4.00","5.00"
"96","1.00","4.00","6.00"
"97","1.00","4.00","7.00"
"98","1.00","4.00","8.00"
"99","1.00","4.00","9.00"
"100","1.00","4.00","10.00"
"101","1.00","4.00","11.00"
"102","1.00","4.00","12.00"
"103","1.00","4.00","13.00"
"104","1.00","4.00","14.00"
"105","1.00","4.00","15.00"
"106","1.00","4.00","16.00"
"107","1.00","4.00","17.00"
"108","1.00","4.00","18.00"
"109","1.00","4.00","19.00"
"110","1.00","4.00","20.00"
"111","1.00","4.00","21.00"
"112","1.00","4.00","22.00"
"113","1.00","4.00","23.00"
"114","1.00","4.00","24.00"
"115","1.00","4.00","25.00"
"116","1.00","4.00","26.00"
"117","1.00","4.00","27.00"
"118","1.00","4.00","28.00"
"119","1.00","4.00","29.00"
"120","1.00","4.00","30.00"
"121","1.00","5.00","1.00"
"122","1.00","5.00","2.00"
"123","1.00","5.00","3.00"
"124","1.00","5.00","4.00"
"125","1.00","5.00","5.00"
"126","1.00","5.00","6.00"
"127","1.00","5.00","7.00"
"128","1.00","5.00","8.00"
"129","1.00","5.00","9.00"
"130","1.00","5.00","10.00"
"131","1.00","5.00","11.00"
"132","1.00","5.00","12.00"
"133","1.00","5.00","13.00"
"134","1.00","5.00","14.00"
"135","1.00","5.00","15.00"
"136","1.00","5.00","16.00"
"137","1.00","5.00","17.00"
"138","1.00","5.00","18.00"
"139","1.00","5.00","19.00"
"140","1.00","5.00","20.00"
"141","1.00","5.00","21.00"
"142","1.00","5.00","22.00"
"143","1.00","5.00","23.00"
"144","1.00","5.00","24.00"
"145","1.00","5.00","25.00"
"146","1.00","5.00","26.00"
"147","1.00","5.00","27.00"
"148","1.00","5.00","28.00"
"149","1.00","5.00","29.00"
"150","1.00","5.00","30.00"
"151","1.00","6.00","1.00"
"152","1.00","6.00","2.00"
"153","1.00","6.00","3.00"
"154","1.00","6.00","4.00"
"155","1.00","6.00","5.00"
"156","1.00","6.00","6.00"
"157","1.00","6.00","7.00"
"158","1.00","6.00","8.00"
"159","1.00","6.00","9.00"
"160","1.00","6.00","10.00"
"161","1.00","6.00","11.00"
"162","1.00","6.00","12.00"
"163","1.00","6.00","13.00"
"164","1.00","6.00","14.00"
"165","1.00","6.00","15.00"
"166","1.00","6.00","16.00"
"167","1.00","6.00","17.00"
"168","1.00","6.00","18.00"
"169","1.00","6.00","19.00"
"170","1.00","6.00","20.00"
"171","1.00","6.00","21.00"
"172","1.00","6.00","22.00"
"173","1.00","6.00","23.00"
"174","1.00","6.00","24.00"
"175","1.00","6.00","25.00"
"176","1.00","6.00","26.00"
"177","1.00","6.00","27.00"
"178","1.00","6.00","28.00"
"179","1.00","6.00","29.00"
"180","1.00","6.00","30.00"
"181","1.00","7.00","1.00"
"182","1.00","7.00","2.00"
"183","1.00","7.00","3.00"
"184","1.00","7.00","4.00"
"185","1.00","7.00","5.00"
"186","1.00","7.00","6.00"
"187","1.00","7.00","7.00"
"188","1.00","7.00","8.00"
"189","1.00","7.00","9.00"
"190","1.00","7.00","10.00"
"191","1.00","7.00","11.00"
"192","1.00","7.00","12.00"
"193","1.00","7.00","13.00"
"194","1.00","7.00","14.00"
"195","1.00","7.00","15.00"
"196","1.00","7.00","16.00"
"197","1.00","7.00","17.00"
"198","1.00","7.00","18.00"
"199","1.00","7.00","19.00"
"200","1.00","7.00","20.00"
"201","1.00","7.00","21.00"
"202","1.00","7.00","22.00"
"203","1.00","7.00","23.00"
"204","1.00","7.00","24.00"
"205","1.00","7.00","25.00"
"206","1.00","7.00","26.00"
"207","1.00","7.00","27.00"
"208","1.00","7.00","28.00"
"209","1.00","7.00","29.00"
