"food_id","macro","name","measurement","protein","carbs","fats"
"1","Protein","Ground Beef 95/5","oz","6.00000","0.00000","1.68300"
"2","Protein","Ground Beef 93/7","oz","5.90000","0.00000","2.00000"
"3","Protein","Ground Beef 90/10","oz","5.80000","0.00000","2.80000"
"4","Protein","Ground Beef 85/15","oz","5.30000","0.00000","4.30000"
"5","Protein","Ground Beef 80/20","oz","7.70000","0.00000","4.90000"
"6","Protein","Bison","oz","6.60000","0.00000","0.70000"
"7","Protein","Black Beans","oz","6.48000","17.82000","0.00000"
"8","Protein","Kidney Beans","oz","6.70000","17.00000","0.20000"
"9","Protein","Catfish","oz","4.60000","0.00000","0.80000"
"10","Protein","Chicken Breast","oz","6.55000","0.00000","1.00000"
"11","Protein","Chickpeas","oz","5.00000","17.00000","1.00000"
"12","Protein","Cod","oz","5.00000","0.00000","0.20000"
"13","Protein","Cottage Cheese (Low-Fat 1% Milkfat)","oz","3.50000","0.76000","0.28000"
"14","Protein","Egg Whites","oz","3.09000","0.00000","0.00000"
"15","Protein","High Protein Greek Yogurt","oz","2.75000","1.35000","0.00000"
"16","Protein","Lamb","oz","4.80000","0.00000","6.10000"
"17","Protein","Ground Turkey 93/7","oz","5.30000","0.00000","2.40000"
"18","Protein","Ground Turkey 85/15","oz","4.80000","0.00000","3.60000"
"19","Protein","Lentils","oz","7.30000","17.00000","0.30000"
"20","Protein","Mahi Mahi Dolphin Fish","oz","5.24000","0.00000","0.20000"
"21","Protein","Merluza Hake (flesh only)","oz","5.10000","0.00000","0.60000"
"22","Protein","Salmon","oz","5.60000","0.00000","3.10000"
"23","Protein","Seitan","oz","7.00000","1.50000","0.16000"
"24","Protein","Shrimp","oz","5.80000","0.30000","0.50000"
"25","Protein","Tempeh","oz","5.30000","2.70000","3.10000"
"26","Protein","Tilapia","oz","5.69000","0.00000","0.50000"
"27","Protein","Tofu","oz","2.83000","0.34200","1.49000"
"28","Protein","Sirloin Steak (lean)","oz","6.80000","0.00000","0.90000"
"29","Protein","Tuna Yellowfin","oz","6.60000","0.00000","0.30000"
"30","Protein","Tuna Bluefin","oz","6.60000","0.00000","1.40000"
"31","Protein","Eggs","oz","6.30000","0.60000","5.30000"
"32","Protein","Beef Filet - Ribeye - Roast (lean)","oz","6.40000","0.00000","1.30000"
"33","Protein","Pork Tenderloin","oz","6.00000","0.00000","1.00000"
"34","Protein","Edamame (Green Soybeans)","oz","3.70000","3.10000","1.90000"
"35","Protein","Ham (11% fat)","oz","4.70000","1.10000","2.40000"
"36","Protein","Turkey Slices","oz","4.60000","0.70000","0.70000"
"37","Carbs","Banana","oz","0.31233","6.48675","0.09610"
"38","Carbs","Blueberries","oz","0.21154","4.11537","0.09615"
"39","Carbs","Brown Rice","oz","2.43000","21.64000","0.85000"
"40","Carbs","Ezekiel Bread","oz","3.33333","11.66667","0.41667"
"41","Carbs","Green Apple","oz","0.07788","3.89416","0.04673"
"42","Carbs","White Rice","oz","2.00000","22.70000","0.20000"
"43","Carbs","Oats","oz","4.79000","18.79000","1.96000"
"44","Carbs","Quinoa","oz","3.71000","19.53000","1.64000"
"45","Carbs","Strawberries","oz","0.19000","2.18000","0.09000"
"46","Carbs","Sweet Potato","oz","0.45000","5.70000","0.01000"
"47","Carbs","Whole Wheat Bread","oz","3.68544","11.62330","0.96388"
"48","Carbs","Whole Wheat Pasta","oz","3.50000","20.50000","0.50000"
"49","Carbs","Yam","oz","0.43000","7.90000","0.05000"
"50","Carbs","Grape Fruit (pink and Red)","oz","0.22000","3.02000","0.04000"
"51","Carbs","Rice Cake","un","1.00000","7.00000","0.00000"
"52","Carbs","Kiwi","oz","0.32000","4.16000","0.15000"
"53","Carbs","White Potato","oz","0.48000","4.45000","0.03000"
"54","Carbs","Apple","oz","0.10000","3.90000","0.10000"
"55","Carbs","Pineapple","oz","0.20000","3.70000","0.05000"
"56","Carbs","White Bread","oz","2.55146","13.89126","0.90718"
"57","Carbs","Grapes","oz","0.17010","4.81942","1.13398"
"58","Carbs","Oranges","oz","0.20106","3.27728","0.06032"
"59","Carbs","Watermelon","oz","0.16568","2.13542","0.03682"
"60","Carbs","Peaches","oz","0.25000","2.70313","0.06250"
"61","Carbs","Cantaloupe","oz","0.22680","2.26796","0.05670"
"62","Carbs","Pears","oz","0.11493","4.38651","0.03831"
"63","Carbs","Mangoes","oz","0.22680","4.25243","0.11340"
"64","Carbs","Rasberries","oz","0.34019","3.40194","0.19845"
"65","Carbs","Blackberries","oz","0.39689","2.83495","0.14175"
"66","Carbs","Plums","oz","0.20618","3.23013","0.08591"
"67","Carbs","Tangerine","oz","0.20000","3.80000","0.10000"
"68","Carbs","Plain Pasta","oz","3.70000","21.20000","0.40000"
"69","Fats","Almond Butter","oz","4.28000","6.02000","16.75000"
"70","Fats","Almonds","oz","6.03000","5.60000","14.36000"
"71","Fats","Avocado","oz","0.60000","2.42000","4.16000"
"72","Fats","Cashews","oz","5.17000","8.56000","12.43000"
"73","Fats","Coconut Oil","oz","0.00000","0.00000","28.35000"
"74","Fats","Oil STANDARD","oz","0.00000","0.00000","28.35000"
"75","Fats","Peanut Butter","oz","6.30000","3.40000","14.20000"
"76","Fats","Pistachios","oz","5.84000","7.90000","10.00000"
"77","Fats","Walnuts","oz","4.32000","3.89000","10.00000"
"78","Fats","Chia Seed","oz","6.50000","10.90000","9.80000"
"79","Fats","Peanut Butter","oz","6.30000","3.40000","14.20000"
"80","Carbs","Beans STANDARD","oz","6.48000","17.82000","0.00000"
"81","Protein","Ground Beef STANDARD","oz","6.00000","0.00000","1.68300"
"82","Protein","Ground Turkey STANDARD","oz","5.30000","0.00000","2.40000"
"83","Protein","Steak STANDARD","oz","6.80000","0.00000","0.90000"
"84","Fats","Nuts STANDARD","oz","5.17000","8.56000","10.00000"
