"c1_id","c1_protein_1","c1_protein_2","c1_carbs_1","c1_carbs_2","c1_fats_1","c1_fats_2","p1","p2","c1","c2","f1","f2"
"1","Bison","Chicken Breast","Quinoa","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"2","Bison","Chicken Breast","Quinoa","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"3","Bison","Chicken Breast","Quinoa","Beans STANDARD","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"4","Bison","Chicken Breast","Quinoa","Beans STANDARD","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"5","Bison","Chicken Breast","Quinoa","Beans STANDARD","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"6","Bison","Chicken Breast","Quinoa","Beans STANDARD","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"7","Bison","Chicken Breast","Quinoa","Lentils","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"8","Bison","Chicken Breast","Quinoa","Lentils","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"9","Bison","Chicken Breast","Quinoa","Lentils","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"10","Bison","Chicken Breast","Quinoa","Lentils","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"11","Bison","Chicken Breast","Quinoa","Lentils","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"12","Bison","Chicken Breast","Quinoa","Lentils","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"13","Bison","Chicken Breast","Quinoa","Banana","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"14","Bison","Chicken Breast","Quinoa","Banana","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"15","Bison","Chicken Breast","Quinoa","Banana","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"16","Bison","Chicken Breast","Quinoa","Banana","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"17","Bison","Chicken Breast","Quinoa","Banana","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"18","Bison","Chicken Breast","Quinoa","Banana","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"19","Bison","Chicken Breast","Quinoa","Sweet Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"20","Bison","Chicken Breast","Quinoa","Sweet Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"21","Bison","Chicken Breast","Quinoa","Sweet Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"22","Bison","Chicken Breast","Quinoa","Sweet Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"23","Bison","Chicken Breast","Quinoa","Sweet Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"24","Bison","Chicken Breast","Quinoa","Sweet Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"25","Bison","Chicken Breast","Quinoa","White Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"26","Bison","Chicken Breast","Quinoa","White Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"27","Bison","Chicken Breast","Quinoa","White Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"28","Bison","Chicken Breast","Quinoa","White Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"29","Bison","Chicken Breast","Quinoa","White Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"30","Bison","Chicken Breast","Quinoa","White Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"31","Bison","Chicken Breast","Quinoa","-","Avocado","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"32","Bison","Chicken Breast","Quinoa","-","Avocado","-","0.5","0.5","1.0","0.0","1.0","0.0"
"33","Bison","Chicken Breast","Quinoa","-","Nuts STANDARD","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"34","Bison","Chicken Breast","Quinoa","-","Nuts STANDARD","-","0.5","0.5","1.0","0.0","1.0","0.0"
"35","Bison","Chicken Breast","Quinoa","-","-","Oil STANDARD","0.5","0.5","1.0","0.0","0.0","0.5"
"36","Bison","Chicken Breast","Quinoa","-","-","-","0.5","0.5","1.0","0.0","0.0","0.0"
"37","Bison","Chicken Breast","White Rice","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"38","Bison","Chicken Breast","White Rice","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"39","Bison","Chicken Breast","White Rice","Beans STANDARD","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"40","Bison","Chicken Breast","White Rice","Beans STANDARD","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"41","Bison","Chicken Breast","White Rice","Beans STANDARD","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"42","Bison","Chicken Breast","White Rice","Beans STANDARD","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"43","Bison","Chicken Breast","White Rice","Lentils","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"44","Bison","Chicken Breast","White Rice","Lentils","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"45","Bison","Chicken Breast","White Rice","Lentils","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"46","Bison","Chicken Breast","White Rice","Lentils","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"47","Bison","Chicken Breast","White Rice","Lentils","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"48","Bison","Chicken Breast","White Rice","Lentils","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"49","Bison","Chicken Breast","White Rice","Banana","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"50","Bison","Chicken Breast","White Rice","Banana","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"51","Bison","Chicken Breast","White Rice","Banana","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"52","Bison","Chicken Breast","White Rice","Banana","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"53","Bison","Chicken Breast","White Rice","Banana","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"54","Bison","Chicken Breast","White Rice","Banana","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"55","Bison","Chicken Breast","White Rice","Sweet Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"56","Bison","Chicken Breast","White Rice","Sweet Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"57","Bison","Chicken Breast","White Rice","Sweet Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"58","Bison","Chicken Breast","White Rice","Sweet Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"59","Bison","Chicken Breast","White Rice","Sweet Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"60","Bison","Chicken Breast","White Rice","Sweet Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"61","Bison","Chicken Breast","White Rice","White Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"62","Bison","Chicken Breast","White Rice","White Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"63","Bison","Chicken Breast","White Rice","White Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"64","Bison","Chicken Breast","White Rice","White Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"65","Bison","Chicken Breast","White Rice","White Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"66","Bison","Chicken Breast","White Rice","White Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"67","Bison","Chicken Breast","White Rice","-","Avocado","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"68","Bison","Chicken Breast","White Rice","-","Avocado","-","0.5","0.5","1.0","0.0","1.0","0.0"
"69","Bison","Chicken Breast","White Rice","-","Nuts STANDARD","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"70","Bison","Chicken Breast","White Rice","-","Nuts STANDARD","-","0.5","0.5","1.0","0.0","1.0","0.0"
"71","Bison","Chicken Breast","White Rice","-","-","Oil STANDARD","0.5","0.5","1.0","0.0","0.0","0.5"
"72","Bison","Chicken Breast","White Rice","-","-","-","0.5","0.5","1.0","0.0","0.0","0.0"
"73","Bison","Chicken Breast","Brown Rice","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"74","Bison","Chicken Breast","Brown Rice","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"75","Bison","Chicken Breast","Brown Rice","Beans STANDARD","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"76","Bison","Chicken Breast","Brown Rice","Beans STANDARD","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"77","Bison","Chicken Breast","Brown Rice","Beans STANDARD","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"78","Bison","Chicken Breast","Brown Rice","Beans STANDARD","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"79","Bison","Chicken Breast","Brown Rice","Lentils","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"80","Bison","Chicken Breast","Brown Rice","Lentils","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"81","Bison","Chicken Breast","Brown Rice","Lentils","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"82","Bison","Chicken Breast","Brown Rice","Lentils","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"83","Bison","Chicken Breast","Brown Rice","Lentils","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"84","Bison","Chicken Breast","Brown Rice","Lentils","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"85","Bison","Chicken Breast","Brown Rice","Banana","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"86","Bison","Chicken Breast","Brown Rice","Banana","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"87","Bison","Chicken Breast","Brown Rice","Banana","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"88","Bison","Chicken Breast","Brown Rice","Banana","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"89","Bison","Chicken Breast","Brown Rice","Banana","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"90","Bison","Chicken Breast","Brown Rice","Banana","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"91","Bison","Chicken Breast","Brown Rice","Sweet Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"92","Bison","Chicken Breast","Brown Rice","Sweet Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"93","Bison","Chicken Breast","Brown Rice","Sweet Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"94","Bison","Chicken Breast","Brown Rice","Sweet Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"95","Bison","Chicken Breast","Brown Rice","Sweet Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"96","Bison","Chicken Breast","Brown Rice","Sweet Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"97","Bison","Chicken Breast","Brown Rice","White Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"98","Bison","Chicken Breast","Brown Rice","White Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"99","Bison","Chicken Breast","Brown Rice","White Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"100","Bison","Chicken Breast","Brown Rice","White Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"101","Bison","Chicken Breast","Brown Rice","White Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"102","Bison","Chicken Breast","Brown Rice","White Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"103","Bison","Chicken Breast","Brown Rice","-","Avocado","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"104","Bison","Chicken Breast","Brown Rice","-","Avocado","-","0.5","0.5","1.0","0.0","1.0","0.0"
"105","Bison","Chicken Breast","Brown Rice","-","Nuts STANDARD","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"106","Bison","Chicken Breast","Brown Rice","-","Nuts STANDARD","-","0.5","0.5","1.0","0.0","1.0","0.0"
"107","Bison","Chicken Breast","Brown Rice","-","-","Oil STANDARD","0.5","0.5","1.0","0.0","0.0","0.5"
"108","Bison","Chicken Breast","Brown Rice","-","-","-","0.5","0.5","1.0","0.0","0.0","0.0"
"109","Bison","Chicken Breast","Sweet Potato","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"110","Bison","Chicken Breast","Sweet Potato","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"111","Bison","Chicken Breast","Sweet Potato","Beans STANDARD","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"112","Bison","Chicken Breast","Sweet Potato","Beans STANDARD","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"113","Bison","Chicken Breast","Sweet Potato","Beans STANDARD","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"114","Bison","Chicken Breast","Sweet Potato","Beans STANDARD","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"115","Bison","Chicken Breast","Sweet Potato","Lentils","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"116","Bison","Chicken Breast","Sweet Potato","Lentils","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"117","Bison","Chicken Breast","Sweet Potato","Lentils","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"118","Bison","Chicken Breast","Sweet Potato","Lentils","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"119","Bison","Chicken Breast","Sweet Potato","Lentils","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"120","Bison","Chicken Breast","Sweet Potato","Lentils","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"121","Bison","Chicken Breast","Sweet Potato","Banana","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"122","Bison","Chicken Breast","Sweet Potato","Banana","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
