error_id,e_protein,e_carbs,e_fats
1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,1,1,5
6,1,1,6
7,1,1,7
8,1,1,8
9,1,1,9
10,1,1,10
11,1,1,11
12,1,1,12
13,1,1,13
14,1,1,14
15,1,1,15
16,1,1,16
17,1,1,17
18,1,1,18
19,1,1,19
20,1,1,20
21,1,1,21
22,1,1,22
23,1,1,23
24,1,1,24
25,1,1,25
26,1,1,26
27,1,1,27
28,1,1,28
29,1,1,29
30,1,1,30
31,1,2,1
32,1,2,2
33,1,2,3
34,1,2,4
35,1,2,5
36,1,2,6
37,1,2,7
38,1,2,8
39,1,2,9
40,1,2,10
41,1,2,11
42,1,2,12
43,1,2,13
44,1,2,14
45,1,2,15
46,1,2,16
47,1,2,17
48,1,2,18
49,1,2,19
50,1,2,20
51,1,2,21
52,1,2,22
53,1,2,23
54,1,2,24
55,1,2,25
56,1,2,26
57,1,2,27
58,1,2,28
59,1,2,29
60,1,2,30
61,1,3,1
62,1,3,2
63,1,3,3
64,1,3,4
65,1,3,5
66,1,3,6
67,1,3,7
68,1,3,8
69,1,3,9
70,1,3,10
71,1,3,11
72,1,3,12
73,1,3,13
74,1,3,14
75,1,3,15
76,1,3,16
77,1,3,17
78,1,3,18
79,1,3,19
80,1,3,20
81,1,3,21
82,1,3,22
83,1,3,23
84,1,3,24
85,1,3,25
86,1,3,26
87,1,3,27
88,1,3,28
89,1,3,29
90,1,3,30
91,1,4,1
92,1,4,2
93,1,4,3
94,1,4,4
95,1,4,5
96,1,4,6
97,1,4,7
98,1,4,8
99,1,4,9
100,1,4,10
101,1,4,11
102,1,4,12
103,1,4,13
104,1,4,14
105,1,4,15
106,1,4,16
107,1,4,17
108,1,4,18
109,1,4,19
110,1,4,20
111,1,4,21
112,1,4,22
113,1,4,23
114,1,4,24
115,1,4,25
116,1,4,26
117,1,4,27
118,1,4,28
119,1,4,29
120,1,4,30
121,1,5,1
122,1,5,2
123,1,5,3
124,1,5,4
125,1,5,5
126,1,5,6
127,1,5,7
128,1,5,8
129,1,5,9
130,1,5,10
131,1,5,11
132,1,5,12
133,1,5,13
134,1,5,14
135,1,5,15
136,1,5,16
137,1,5,17
138,1,5,18
139,1,5,19
140,1,5,20
141,1,5,21
142,1,5,22
143,1,5,23
144,1,5,24
145,1,5,25
146,1,5,26
147,1,5,27
148,1,5,28
149,1,5,29
150,1,5,30
151,1,6,1
152,1,6,2
153,1,6,3
154,1,6,4
155,1,6,5
156,1,6,6
157,1,6,7
158,1,6,8
159,1,6,9
160,1,6,10
161,1,6,11
162,1,6,12
163,1,6,13
164,1,6,14
165,1,6,15
166,1,6,16
167,1,6,17
168,1,6,18
169,1,6,19
170,1,6,20
171,1,6,21
172,1,6,22
173,1,6,23
174,1,6,24
175,1,6,25
176,1,6,26
177,1,6,27
178,1,6,28
179,1,6,29
180,1,6,30
181,1,7,1
182,1,7,2
183,1,7,3
184,1,7,4
185,1,7,5
186,1,7,6
187,1,7,7
188,1,7,8
189,1,7,9
190,1,7,10
191,1,7,11
192,1,7,12
193,1,7,13
194,1,7,14
195,1,7,15
196,1,7,16
197,1,7,17
198,1,7,18
199,1,7,19
200,1,7,20
201,1,7,21
202,1,7,22
203,1,7,23
204,1,7,24
205,1,7,25
206,1,7,26
207,1,7,27
208,1,7,28
209,1,7,29
210,1,7,30
211,1,8,1
212,1,8,2
213,1,8,3
214,1,8,4
215,1,8,5
216,1,8,6
217,1,8,7
218,1,8,8
219,1,8,9
220,1,8,10
221,1,8,11
222,1,8,12
223,1,8,13
224,1,8,14
225,1,8,15
226,1,8,16
227,1,8,17
228,1,8,18
229,1,8,19
230,1,8,20
231,1,8,21
232,1,8,22
233,1,8,23
234,1,8,24
235,1,8,25
236,1,8,26
237,1,8,27
238,1,8,28
239,1,8,29
240,1,8,30
241,1,9,1
242,1,9,2
243,1,9,3
244,1,9,4
245,1,9,5
246,1,9,6
247,1,9,7
248,1,9,8
249,1,9,9
250,1,9,10
251,1,9,11
252,1,9,12
253,1,9,13
254,1,9,14
255,1,9,15
256,1,9,16
257,1,9,17
258,1,9,18
259,1,9,19
260,1,9,20
261,1,9,21
262,1,9,22
263,1,9,23
264,1,9,24
265,1,9,25
266,1,9,26
267,1,9,27
268,1,9,28
269,1,9,29
270,1,9,30
271,1,10,1
272,1,10,2
273,1,10,3
274,1,10,4
275,1,10,5
276,1,10,6
277,1,10,7
278,1,10,8
279,1,10,9
280,1,10,10
281,1,10,11
282,1,10,12
283,1,10,13
284,1,10,14
285,1,10,15
286,1,10,16
287,1,10,17
288,1,10,18
289,1,10,19
290,1,10,20
291,1,10,21
292,1,10,22
293,1,10,23
294,1,10,24
295,1,10,25
296,1,10,26
297,1,10,27
298,1,10,28
299,1,10,29
300,1,10,30
301,1,11,1
302,1,11,2
303,1,11,3
304,1,11,4
305,1,11,5
306,1,11,6
307,1,11,7
308,1,11,8
309,1,11,9
310,1,11,10
311,1,11,11
312,1,11,12
313,1,11,13
314,1,11,14
315,1,11,15
316,1,11,16
317,1,11,17
318,1,11,18
319,1,11,19
320,1,11,20
321,1,11,21
322,1,11,22
323,1,11,23
324,1,11,24
325,1,11,25
326,1,11,26
327,1,11,27
328,1,11,28
329,1,11,29
330,1,11,30
331,1,12,1
332,1,12,2
333,1,12,3
334,1,12,4
335,1,12,5
336,1,12,6
337,1,12,7
338,1,12,8
339,1,12,9
340,1,12,10
341,1,12,11
342,1,12,12
343,1,12,13
344,1,12,14
345,1,12,15
346,1,12,16
347,1,12,17
348,1,12,18
349,1,12,19
350,1,12,20
351,1,12,21
352,1,12,22
353,1,12,23
354,1,12,24
355,1,12,25
356,1,12,26
357,1,12,27
358,1,12,28
359,1,12,29
360,1,12,30
361,1,13,1
362,1,13,2
363,1,13,3
364,1,13,4
365,1,13,5
366,1,13,6
367,1,13,7
368,1,13,8
369,1,13,9
370,1,13,10
371,1,13,11
372,1,13,12
373,1,13,13
374,1,13,14
375,1,13,15
376,1,13,16
377,1,13,17
378,1,13,18
379,1,13,19
380,1,13,20
381,1,13,21
382,1,13,22
383,1,13,23
384,1,13,24
385,1,13,25
386,1,13,26
387,1,13,27
388,1,13,28
389,1,13,29
390,1,13,30
391,1,14,1
392,1,14,2
393,1,14,3
394,1,14,4
395,1,14,5
396,1,14,6
397,1,14,7
398,1,14,8
399,1,14,9
400,1,14,10
401,1,14,11
402,1,14,12
403,1,14,13
404,1,14,14
405,1,14,15
406,1,14,16
407,1,14,17
408,1,14,18
409,1,14,19
410,1,14,20
411,1,14,21
412,1,14,22
413,1,14,23
414,1,14,24
415,1,14,25
416,1,14,26
417,1,14,27
418,1,14,28
419,1,14,29
420,1,14,30
421,1,15,1
422,1,15,2
423,1,15,3
424,1,15,4
425,1,15,5
426,1,15,6
427,1,15,7
428,1,15,8
429,1,15,9
430,1,15,10
431,1,15,11
432,1,15,12
433,1,15,13
434,1,15,14
435,1,15,15
436,1,15,16
437,1,15,17
438,1,15,18
439,1,15,19
440,1,15,20
441,1,15,21
442,1,15,22
443,1,15,23
444,1,15,24
445,1,15,25
446,1,15,26
447,1,15,27
448,1,15,28
449,1,15,29
450,1,15,30
451,1,16,1
452,1,16,2
453,1,16,3
454,1,16,4
455,1,16,5
456,1,16,6
457,1,16,7
458,1,16,8
459,1,16,9
460,1,16,10
461,1,16,11
462,1,16,12
463,1,16,13
464,1,16,14
465,1,16,15
466,1,16,16
467,1,16,17
468,1,16,18
469,1,16,19
470,1,16,20
471,1,16,21
472,1,16,22
473,1,16,23
474,1,16,24
475,1,16,25
476,1,16,26
477,1,16,27
478,1,16,28
479,1,16,29
480,1,16,30
481,1,17,1
482,1,17,2
483,1,17,3
484,1,17,4
485,1,17,5
486,1,17,6
487,1,17,7
488,1,17,8
489,1,17,9
490,1,17,10
491,1,17,11
492,1,17,12
493,1,17,13
494,1,17,14
495,1,17,15
496,1,17,16
497,1,17,17
498,1,17,18
499,1,17,19
500,1,17,20
501,1,17,21
502,1,17,22
503,1,17,23
504,1,17,24
505,1,17,25
506,1,17,26
507,1,17,27
508,1,17,28
509,1,17,29
510,1,17,30
511,1,18,1
512,1,18,2
513,1,18,3
514,1,18,4
515,1,18,5
516,1,18,6
517,1,18,7
518,1,18,8
519,1,18,9
520,1,18,10
521,1,18,11
522,1,18,12
523,1,18,13
524,1,18,14
525,1,18,15
526,1,18,16
527,1,18,17
528,1,18,18
529,1,18,19
530,1,18,20
531,1,18,21
532,1,18,22
533,1,18,23
534,1,18,24
535,1,18,25
536,1,18,26
537,1,18,27
538,1,18,28
539,1,18,29
540,1,18,30
541,1,19,1
542,1,19,2
543,1,19,3
544,1,19,4
545,1,19,5
546,1,19,6
547,1,19,7
548,1,19,8
549,1,19,9
550,1,19,10
551,1,19,11
552,1,19,12
553,1,19,13
554,1,19,14
555,1,19,15
556,1,19,16
557,1,19,17
558,1,19,18
559,1,19,19
560,1,19,20
561,1,19,21
562,1,19,22
563,1,19,23
564,1,19,24
565,1,19,25
566,1,19,26
567,1,19,27
568,1,19,28
569,1,19,29
570,1,19,30
571,1,20,1
572,1,20,2
573,1,20,3
574,1,20,4
575,1,20,5
576,1,20,6
577,1,20,7
578,1,20,8
579,1,20,9
580,1,20,10
581,1,20,11
582,1,20,12
583,1,20,13
584,1,20,14
585,1,20,15
586,1,20,16
587,1,20,17
588,1,20,18
589,1,20,19
590,1,20,20
591,1,20,21
592,1,20,22
593,1,20,23
594,1,20,24
595,1,20,25
596,1,20,26
597,1,20,27
598,1,20,28
599,1,20,29
600,1,20,30
601,1,21,1
602,1,21,2
603,1,21,3
604,1,21,4
605,1,21,5
606,1,21,6
607,1,21,7
608,1,21,8
609,1,21,9
610,1,21,10
611,1,21,11
612,1,21,12
613,1,21,13
614,1,21,14
615,1,21,15
616,1,21,16
617,1,21,17
618,1,21,18
619,1,21,19
620,1,21,20
621,1,21,21
622,1,21,22
623,1,21,23
624,1,21,24
625,1,21,25
626,1,21,26
627,1,21,27
628,1,21,28
629,1,21,29
630,1,21,30
631,1,22,1
632,1,22,2
633,1,22,3
634,1,22,4
635,1,22,5
636,1,22,6
637,1,22,7
638,1,22,8
639,1,22,9
640,1,22,10
641,1,22,11
642,1,22,12
643,1,22,13
644,1,22,14
645,1,22,15
646,1,22,16
647,1,22,17
648,1,22,18
649,1,22,19
650,1,22,20
651,1,22,21
652,1,22,22
653,1,22,23
654,1,22,24
655,1,22,25
656,1,22,26
657,1,22,27
658,1,22,28
659,1,22,29
660,1,22,30
661,1,23,1
662,1,23,2
663,1,23,3
664,1,23,4
665,1,23,5
666,1,23,6
667,1,23,7
668,1,23,8
669,1,23,9
670,1,23,10
671,1,23,11
672,1,23,12
673,1,23,13
674,1,23,14
675,1,23,15
676,1,23,16
677,1,23,17
678,1,23,18
679,1,23,19
680,1,23,20
681,1,23,21
682,1,23,22
683,1,23,23
684,1,23,24
685,1,23,25
686,1,23,26
687,1,23,27
688,1,23,28
689,1,23,29
690,1,23,30
691,1,24,1
692,1,24,2
693,1,24,3
694,1,24,4
695,1,24,5
696,1,24,6
697,1,24,7
698,1,24,8
699,1,24,9
700,1,24,10
701,1,24,11
702,1,24,12
703,1,24,13
704,1,24,14
705,1,24,15
706,1,24,16
707,1,24,17
708,1,24,18
709,1,24,19
710,1,24,20
711,1,24,21
712,1,24,22
713,1,24,23
714,1,24,24
715,1,24,25
716,1,24,26
717,1,24,27
718,1,24,28
719,1,24,29
720,1,24,30
721,1,25,1
722,1,25,2
723,1,25,3
724,1,25,4
725,1,25,5
726,1,25,6
727,1,25,7
728,1,25,8
729,1,25,9
730,1,25,10
731,1,25,11
732,1,25,12
733,1,25,13
734,1,25,14
735,1,25,15
736,1,25,16
737,1,25,17
738,1,25,18
739,1,25,19
740,1,25,20
741,1,25,21
742,1,25,22
743,1,25,23
744,1,25,24
745,1,25,25
746,1,25,26
747,1,25,27
748,1,25,28
749,1,25,29
750,1,25,30
751,1,26,1
752,1,26,2
753,1,26,3
754,1,26,4
755,1,26,5
756,1,26,6
757,1,26,7
758,1,26,8
759,1,26,9
760,1,26,10
761,1,26,11
762,1,26,12
763,1,26,13
764,1,26,14
765,1,26,15
766,1,26,16
767,1,26,17
768,1,26,18
769,1,26,19
770,1,26,20
771,1,26,21
772,1,26,22
773,1,26,23
774,1,26,24
775,1,26,25
776,1,26,26
777,1,26,27
778,1,26,28
779,1,26,29
780,1,26,30
781,1,27,1
782,1,27,2
783,1,27,3
784,1,27,4
785,1,27,5
786,1,27,6
787,1,27,7
788,1,27,8
789,1,27,9
790,1,27,10
791,1,27,11
792,1,27,12
793,1,27,13
794,1,27,14
795,1,27,15
796,1,27,16
797,1,27,17
798,1,27,18
799,1,27,19
800,1,27,20
801,1,27,21
802,1,27,22
803,1,27,23
804,1,27,24
805,1,27,25
806,1,27,26
807,1,27,27
808,1,27,28
809,1,27,29
810,1,27,30
811,1,28,1
812,1,28,2
813,1,28,3
814,1,28,4
815,1,28,5
816,1,28,6
817,1,28,7
818,1,28,8
819,1,28,9
820,1,28,10
821,1,28,11
822,1,28,12
823,1,28,13
824,1,28,14
825,1,28,15
826,1,28,16
827,1,28,17
828,1,28,18
829,1,28,19
830,1,28,20
831,1,28,21
832,1,28,22
833,1,28,23
834,1,28,24
835,1,28,25
836,1,28,26
837,1,28,27
838,1,28,28
839,1,28,29
840,1,28,30
841,1,29,1
842,1,29,2
843,1,29,3
844,1,29,4
845,1,29,5
846,1,29,6
847,1,29,7
848,1,29,8
849,1,29,9
